IP,Country,City,Region,ZIP,Timezone,ISP,Org,ASN,Lat,Long
8.129.104.40,China,Shenzhen,Guangdong,Unknown,Asia/Shanghai,"Hangzhou Alibaba Advertising Co.","Aliyun Computing Co.","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",22.5318,114.1374
219.173.211.202,Japan,Aomori,Aomori,030-0851,Asia/Tokyo,"Softbank BB Corp.","Japan Nation-wide Network of Softbank Corp.","AS17676 Softbank BB Corp.",40.8134,140.7478
67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
95de:8565:5a66:792c:26e0:6cfb:7d87:11af,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
196.89.235.192,Morocco,Tétouan,"Tanger-Tetouan-Al Hoceima",Unknown,Africa/Casablanca,"ADSL Maroc telecom",Unknown,"AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",35.572,-5.3732
43.166.163.164,China,Haidian,Beijing,Unknown,Asia/Shanghai,"Tencent Cloud Computing (Beijing) Co","Tencent Cloud Computing (Beijing) Co., Ltd",Unknown,39.9786,116.302
33.67.35.30,"United States",Whitehall,Ohio,43218,America/New_York,"Global Resource Systems, LLC","DoD Network Information Center","AS8003 Global Resource Systems, LLC",39.9747,-82.8947
212.144.68.190,Germany,Essen,"North Rhine-Westphalia",45359,Europe/Berlin,"Mannesmann o.tel.o GmbH & Co","Heinrich Deichmann Schuhe GmbH & Co","AS3209 Vodafone GmbH",51.4615,6.92782
c899:ff67:6864:4365:def3:3023:655f:5181,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
86.16.65.228,"United Kingdom",Balham,England,SW11,Europe/London,"Virgin Media",Unknown,"AS5089 Virgin Media Limited",51.4719,-0.1616
231.91.253.19,"reserved range",,,,,,,,,
184.97.57.11,"United States",Markesan,Wisconsin,53946,America/Chicago,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC",43.714,-89.007
4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
98.229.160.246,"United States",Lexington,Massachusetts,02420,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS7922 Comcast Cable Communications, LLC",42.4571,-71.221
2efe:240f:cc33:306:8e47:b8d5:b466:f12a,France,Paris,Île-de-France,75000,Europe/Paris,Unknown,Unknown,Unknown,48.8566,2.35222
229.2.225.188,"reserved range",,,,,,,,,
166.148.66.158,"United States",Doylestown,Pennsylvania,18901,America/New_York,"Cellco Partnership DBA Verizon Wireless","Service Provider Corporation","AS22394 Cellco Partnership DBA Verizon Wireless",40.318,-75.1331
128.61.46.131,"United States",Rex,Georgia,30273,America/New_York,"Georgia Institute of Technology","Georgia Institute of Technology","AS2637 Georgia Institute of Technology",33.584,-84.2751
61ba:a72b:5401:db1a:9833:d0da:254c:2369,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
73.182.31.59,"United States",Hinesville,Georgia,31313,America/New_York,"Comcast Cable Communications","Comcast IP Services, L.L.C.","AS7922 Comcast Cable Communications, LLC",31.848,-81.602
81.13.103.118,Russia,Moscow,Moscow,101194,Europe/Moscow,"CJSC ""CREDO-TELECOM""","RM Telecom","AS5523 CREDO TELECOM",55.7387,37.6337
58.13.30.104,Japan,Osaka,Ōsaka,543-0061,Asia/Tokyo,"ARTERIA Networks Corporation","UCOM Corporation","AS17506 ARTERIA Networks Corporation",34.6946,135.5021
162.48.39.230,"United States","New York","New York",10017,America/New_York,"Pfizer Inc.","Pfizer Inc.",Unknown,40.7503,-73.9724
245.38.171.222,"reserved range",,,,,,,,,
89e:31aa:e9e2:90ea:aa00:4a8c:805c:20ea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0
61.219.235.129,Taiwan,Taichung,"Taichung City",Unknown,Asia/Taipei,"Chunghwa Telecom Co., Ltd.","Chunghwa Telecom Co. Ltd.","AS3462 Data Communication Business Group",24.144,120.6844
46.130.37.206,Armenia,Yerevan,Yerevan,Unknown,Asia/Yerevan,"K-Telecom GPRS/3G",Unknown,"AS43733 MTS Armenia CJSC",40.1742,44.5025
9717:f390:29c6:8d60:aee7:a054:1b90:9493,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
72.251.102.162,"United States",Newark,"New Jersey",07175,America/New_York,"Windstream Communications LLC","Ad-Base Systems Inc. (DBA GlobalPOPS)","AS7029 Windstream Communications LLC",40.7357,-74.1724
1289:d2a9:c65d:8fc7:7be4:129b:d7b:cf7b,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0
846:e2b8:6318:5636:946d:ca83:8076:d098,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0
58.43.60.165,China,Beijing,Beijing,Unknown,Asia/Shanghai,Chinanet,"Chinanet CQ","AS4134 CHINANET-BACKBONE",39.9042,116.407
3617:fa2b:f31e:5b72:59a8:cb1a:d090:edb9,France,Paris,Île-de-France,75000,Europe/Paris,Unknown,Unknown,Unknown,48.8566,2.35222
224.3.233.30,"reserved range",,,,,,,,,
e03d:db6e:f5ca:b9cd:d64f:80fe:6177:26e1,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
2432:d9dc:c6ad:ef9c:c5df:b7bf:1b48:4444,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
